index, img1, img2, SURF, HIST, COMB
7980, /home/dhan/transfer/images/11490_0_q.jpg, /home/dhan/transfer/images/11490_0_r.jpg, 0.00162760416666667, 0.997845825387335, 0.997845825387335
7982, /home/dhan/transfer/images/11490_1_q.jpg, /home/dhan/transfer/images/11490_1_r.jpg, 0.00265842013888889, 0.999966071433848, 0.999966071433848
7984, /home/dhan/transfer/images/11495_0_q.jpg, /home/dhan/transfer/images/11495_0_r.jpg, 0.001708984375, 0.999791234539119, 0.999791234539119
7986, /home/dhan/transfer/images/11495_1_q.jpg, /home/dhan/transfer/images/11495_1_r.jpg, 0.00246853298611111, 0.999291967998139, 0.999291967998139
7988, /home/dhan/transfer/images/11500_0_q.jpg, /home/dhan/transfer/images/11500_0_r.jpg, 0.00165473090277778, 0.997272530521051, 0.997272530521051
7990, /home/dhan/transfer/images/11500_1_r.jpg, /home/dhan/transfer/images/11500_1_q.jpg, 0.00230577256944444, 0.999336835390966, 0.999336835390966
7992, /home/dhan/transfer/images/11505_0_r.jpg, /home/dhan/transfer/images/11505_0_q.jpg, 0.00184461805555556, 0.996887328072511, 0.996887328072511
7994, /home/dhan/transfer/images/11505_1_r.jpg, /home/dhan/transfer/images/11505_1_q.jpg, 0.00246853298611111, 1, 1
7996, /home/dhan/transfer/images/11510_0_q.jpg, /home/dhan/transfer/images/11510_0_r.jpg, 0.00189887152777778, 1, 1
7998, /home/dhan/transfer/images/11510_1_r.jpg, /home/dhan/transfer/images/11510_1_q.jpg, 0.002197265625, 0.999949499399435, 0.999949499399435
8000, /home/dhan/transfer/images/11515_0_r.jpg, /home/dhan/transfer/images/11515_0_q.jpg, 0.00173611111111111, 0.997242631496892, 0.997242631496892
8002, /home/dhan/transfer/images/11515_1_r.jpg, /home/dhan/transfer/images/11515_1_q.jpg, 0.00233289930555556, 1, 1
8004, /home/dhan/transfer/images/11520_0_r.jpg, /home/dhan/transfer/images/11520_0_q.jpg, 0.00173611111111111, 0.99674065370386, 0.99674065370386
8006, /home/dhan/transfer/images/11520_1_q.jpg, /home/dhan/transfer/images/11520_1_r.jpg, 0.00225151909722222, 1, 1
8008, /home/dhan/transfer/images/11525_0_r.jpg, /home/dhan/transfer/images/11525_0_q.jpg, 0.00165473090277778, 0.9973149438395, 0.9973149438395
8010, /home/dhan/transfer/images/11525_1_q.jpg, /home/dhan/transfer/images/11525_1_r.jpg, 0.00238715277777778, 1, 1
8012, /home/dhan/transfer/images/11530_0_q.jpg, /home/dhan/transfer/images/11530_0_r.jpg, 0.00192599826388889, 1, 1
8014, /home/dhan/transfer/images/11530_1_q.jpg, /home/dhan/transfer/images/11530_1_r.jpg, 0.00238715277777778, 1, 1
8016, /home/dhan/transfer/images/11536_0_q.jpg, /home/dhan/transfer/images/11536_0_r.jpg, 0.00162760416666667, 0.996226739029173, 0.996226739029173
8018, /home/dhan/transfer/images/11536_1_q.jpg, /home/dhan/transfer/images/11536_1_r.jpg, 0.00238715277777778, 1, 1
8020, /home/dhan/transfer/images/11540_0_q.jpg, /home/dhan/transfer/images/11540_0_r.jpg, 0.00160047743055556, 0.996917934058003, 0.996917934058003
8022, /home/dhan/transfer/images/11540_1_r.jpg, /home/dhan/transfer/images/11540_1_q.jpg, 0.00241427951388889, 1, 1
8024, /home/dhan/transfer/images/11545_0_q.jpg, /home/dhan/transfer/images/11545_0_r.jpg, 0.00168185763888889, 0.997306222916492, 0.997306222916492
8026, /home/dhan/transfer/images/11545_1_r.jpg, /home/dhan/transfer/images/11545_1_q.jpg, 0.00222439236111111, 0.999946165643629, 0.999946165643629
8028, /home/dhan/transfer/images/11550_0_q.jpg, /home/dhan/transfer/images/11550_0_r.jpg, 0.00230577256944444, 0.999924198048592, 0.999924198048592
8030, /home/dhan/transfer/images/11550_1_r.jpg, /home/dhan/transfer/images/11550_1_q.jpg, 0.00160047743055556, 0.997664525748453, 0.997664525748453
8032, /home/dhan/transfer/images/11555_0_r.jpg, /home/dhan/transfer/images/11555_0_q.jpg, 0.00184461805555556, 0.998974205921291, 0.998974205921291
8034, /home/dhan/transfer/images/11555_1_r.jpg, /home/dhan/transfer/images/11555_1_q.jpg, 0.00157335069444444, 0.997239049294027, 0.997239049294027
8036, /home/dhan/transfer/images/11560_0_q.jpg, /home/dhan/transfer/images/11560_0_r.jpg, 0.00151909722222222, 0.997177996583081, 0.997177996583081
8038, /home/dhan/transfer/images/11560_1_q.jpg, /home/dhan/transfer/images/11560_1_r.jpg, 0.00206163194444444, 0.998832185587111, 0.998832185587111
8040, /home/dhan/transfer/images/11565_0_q.jpg, /home/dhan/transfer/images/11565_0_r.jpg, 0.00143771701388889, 0.996675050656319, 0.996675050656319
8042, /home/dhan/transfer/images/11565_1_q.jpg, /home/dhan/transfer/images/11565_1_r.jpg, 0.00211588541666667, 0.999003045778657, 0.999003045778657
8044, /home/dhan/transfer/images/11570_0_r.jpg, /home/dhan/transfer/images/11570_0_q.jpg, 0.00157335069444444, 0.996874844442952, 0.996874844442952
8046, /home/dhan/transfer/images/11570_1_r.jpg, /home/dhan/transfer/images/11570_1_q.jpg, 0.00203450520833333, 0.999129605995134, 0.999129605995134
8048, /home/dhan/transfer/images/11575_0_r.jpg, /home/dhan/transfer/images/11575_0_q.jpg, 0.00168185763888889, 0.997190485676374, 0.997190485676374
8050, /home/dhan/transfer/images/11575_1_q.jpg, /home/dhan/transfer/images/11575_1_r.jpg, 0.00254991319444444, 1, 1
8052, /home/dhan/transfer/images/11580_0_q.jpg, /home/dhan/transfer/images/11580_0_r.jpg, 0.00165473090277778, 0.997106702049525, 0.997106702049525
8054, /home/dhan/transfer/images/11580_1_q.jpg, /home/dhan/transfer/images/11580_1_r.jpg, 0.00252278645833333, 1, 1
8056, /home/dhan/transfer/images/11585_0_r.jpg, /home/dhan/transfer/images/11585_0_q.jpg, 0.00176323784722222, 1, 1
8058, /home/dhan/transfer/images/11585_1_r.jpg, /home/dhan/transfer/images/11585_1_q.jpg, 0.00246853298611111, 1, 1
8060, /home/dhan/transfer/images/11590_0_r.jpg, /home/dhan/transfer/images/11590_0_q.jpg, 0.00176323784722222, 1, 1
8062, /home/dhan/transfer/images/11590_1_q.jpg, /home/dhan/transfer/images/11590_1_r.jpg, 0.00246853298611111, 1, 1
8064, /home/dhan/transfer/images/11596_0_q.jpg, /home/dhan/transfer/images/11596_0_r.jpg, 0.00173611111111111, 0.997291241598363, 0.997291241598363
8066, /home/dhan/transfer/images/11596_1_r.jpg, /home/dhan/transfer/images/11596_1_q.jpg, 0.00230577256944444, 0.998467062779888, 0.998467062779888
8068, /home/dhan/transfer/images/11600_0_r.jpg, /home/dhan/transfer/images/11600_0_q.jpg, 0.00189887152777778, 0.996736282237347, 0.996736282237347
8070, /home/dhan/transfer/images/11600_1_r.jpg, /home/dhan/transfer/images/11600_1_q.jpg, 0.00230577256944444, 1, 1
8072, /home/dhan/transfer/images/11605_0_r.jpg, /home/dhan/transfer/images/11605_0_q.jpg, 0.00184461805555556, 0.999964776612483, 0.999964776612483
8074, /home/dhan/transfer/images/11605_1_q.jpg, /home/dhan/transfer/images/11605_1_r.jpg, 0.00233289930555556, 1, 1
8076, /home/dhan/transfer/images/11610_0_q.jpg, /home/dhan/transfer/images/11610_0_r.jpg, 0.00176323784722222, 0.997431738647214, 0.997431738647214
8078, /home/dhan/transfer/images/11610_1_q.jpg, /home/dhan/transfer/images/11610_1_r.jpg, 0.00238715277777778, 1, 1
8080, /home/dhan/transfer/images/11615_0_q.jpg, /home/dhan/transfer/images/11615_0_r.jpg, 0.00187174479166667, 1, 1
8082, /home/dhan/transfer/images/11615_1_q.jpg, /home/dhan/transfer/images/11615_1_r.jpg, 0.00208875868055556, 0.999724701993093, 0.999724701993093
8084, /home/dhan/transfer/images/11620_0_q.jpg, /home/dhan/transfer/images/11620_0_r.jpg, 0.00168185763888889, 0.999768883581086, 0.999768883581086
8086, /home/dhan/transfer/images/11620_1_r.jpg, /home/dhan/transfer/images/11620_1_q.jpg, 0.00236002604166667, 1, 1
8088, /home/dhan/transfer/images/11625_0_r.jpg, /home/dhan/transfer/images/11625_0_q.jpg, 0.00160047743055556, 0.997450585285231, 0.997450585285231
8090, /home/dhan/transfer/images/11625_1_r.jpg, /home/dhan/transfer/images/11625_1_q.jpg, 0.00208875868055556, 0.998757125312778, 0.998757125312778
8092, /home/dhan/transfer/images/11630_0_r.jpg, /home/dhan/transfer/images/11630_0_q.jpg, 0.00154622395833333, 0.997758490957404, 0.997758490957404
8094, /home/dhan/transfer/images/11630_1_q.jpg, /home/dhan/transfer/images/11630_1_r.jpg, 0.00252278645833333, 1, 1
8096, /home/dhan/transfer/images/11635_0_q.jpg, /home/dhan/transfer/images/11635_0_r.jpg, 0.00160047743055556, 0.99663560788073, 0.99663560788073
8098, /home/dhan/transfer/images/11635_1_q.jpg, /home/dhan/transfer/images/11635_1_r.jpg, 0.00238715277777778, 0.999942611616744, 0.999942611616744
8100, /home/dhan/transfer/images/11641_0_r.jpg, /home/dhan/transfer/images/11641_0_q.jpg, 0.00165473090277778, 0.99718386859545, 0.99718386859545
8102, /home/dhan/transfer/images/11641_1_q.jpg, /home/dhan/transfer/images/11641_1_r.jpg, 0.00252278645833333, 0.999215337293393, 0.999215337293393
8104, /home/dhan/transfer/images/11645_0_r.jpg, /home/dhan/transfer/images/11645_0_q.jpg, 0.00184461805555556, 0.999967473880288, 0.999967473880288
8106, /home/dhan/transfer/images/11645_1_q.jpg, /home/dhan/transfer/images/11645_1_r.jpg, 0.00238715277777778, 0.999309240835385, 0.999309240835385
8108, /home/dhan/transfer/images/11650_0_q.jpg, /home/dhan/transfer/images/11650_0_r.jpg, 0.00184461805555556, 0.998730095593472, 0.998730095593472
8110, /home/dhan/transfer/images/11650_1_r.jpg, /home/dhan/transfer/images/11650_1_q.jpg, 0.00157335069444444, 0.997292203105647, 0.997292203105647
8112, /home/dhan/transfer/images/11655_0_q.jpg, /home/dhan/transfer/images/11655_0_r.jpg, 0.00184461805555556, 0.998447478490152, 0.998447478490152
8114, /home/dhan/transfer/images/11655_1_r.jpg, /home/dhan/transfer/images/11655_1_q.jpg, 0.00162760416666667, 0.997334531059827, 0.997334531059827
8116, /home/dhan/transfer/images/11660_0_r.jpg, /home/dhan/transfer/images/11660_0_q.jpg, 0.00203450520833333, 0.999932535423587, 0.999932535423587
8118, /home/dhan/transfer/images/11660_1_q.jpg, /home/dhan/transfer/images/11660_1_r.jpg, 0.00162760416666667, 1, 1
8120, /home/dhan/transfer/images/11665_0_r.jpg, /home/dhan/transfer/images/11665_0_q.jpg, 0.00225151909722222, 1, 1
8122, /home/dhan/transfer/images/11665_1_r.jpg, /home/dhan/transfer/images/11665_1_q.jpg, 0.00165473090277778, 0.999953112794455, 0.999953112794455
8124, /home/dhan/transfer/images/11671_0_q.jpg, /home/dhan/transfer/images/11671_0_r.jpg, 0.00211588541666667, 0.999189641352898, 0.999189641352898
8126, /home/dhan/transfer/images/11671_1_q.jpg, /home/dhan/transfer/images/11671_1_r.jpg, 0.00162760416666667, 0.99975668838397, 0.99975668838397
8128, /home/dhan/transfer/images/11675_0_r.jpg, /home/dhan/transfer/images/11675_0_q.jpg, 0.00157335069444444, 0.997596835578841, 0.997596835578841
8130, /home/dhan/transfer/images/11675_1_r.jpg, /home/dhan/transfer/images/11675_1_q.jpg, 0.00230577256944444, 0.998974765948356, 0.998974765948356
8132, /home/dhan/transfer/images/11680_0_r.jpg, /home/dhan/transfer/images/11680_0_q.jpg, 0.00173611111111111, 0.996774735039948, 0.996774735039948
8134, /home/dhan/transfer/images/11680_1_q.jpg, /home/dhan/transfer/images/11680_1_r.jpg, 0.00249565972222222, 1, 1
8136, /home/dhan/transfer/images/11686_0_r.jpg, /home/dhan/transfer/images/11686_0_q.jpg, 0.00165473090277778, 0.997291102846697, 0.997291102846697
8138, /home/dhan/transfer/images/11686_1_r.jpg, /home/dhan/transfer/images/11686_1_q.jpg, 0.00252278645833333, 1, 1
8140, /home/dhan/transfer/images/11690_0_q.jpg, /home/dhan/transfer/images/11690_0_r.jpg, 0.00184461805555556, 0.99996947904349, 0.99996947904349
8142, /home/dhan/transfer/images/11690_1_q.jpg, /home/dhan/transfer/images/11690_1_r.jpg, 0.00252278645833333, 1, 1
8144, /home/dhan/transfer/images/11695_0_r.jpg, /home/dhan/transfer/images/11695_0_q.jpg, 0.00184461805555556, 1, 1
8146, /home/dhan/transfer/images/11695_1_r.jpg, /home/dhan/transfer/images/11695_1_q.jpg, 0.00203450520833333, 0.998755031217343, 0.998755031217343
8148, /home/dhan/transfer/images/11700_0_r.jpg, /home/dhan/transfer/images/11700_0_q.jpg, 0.00151909722222222, 0.99713187738688, 0.99713187738688
8150, /home/dhan/transfer/images/11700_1_q.jpg, /home/dhan/transfer/images/11700_1_r.jpg, 0.00189887152777778, 0.999008135002112, 0.999008135002112
8152, /home/dhan/transfer/images/11705_0_r.jpg, /home/dhan/transfer/images/11705_0_q.jpg, 0.00168185763888889, 0.999956492414179, 0.999956492414179
8154, /home/dhan/transfer/images/11705_1_r.jpg, /home/dhan/transfer/images/11705_1_q.jpg, 0.001953125, 0.99890438844885, 0.99890438844885
8156, /home/dhan/transfer/images/11710_0_q.jpg, /home/dhan/transfer/images/11710_0_r.jpg, 0.00168185763888889, 0.999789401127374, 0.999789401127374
8158, /home/dhan/transfer/images/11710_1_r.jpg, /home/dhan/transfer/images/11710_1_q.jpg, 0.00257703993055556, 1, 1
8160, /home/dhan/transfer/images/11715_0_r.jpg, /home/dhan/transfer/images/11715_0_q.jpg, 0.00138346354166667, 0.996503843779575, 0.996503843779575
8162, /home/dhan/transfer/images/11715_1_r.jpg, /home/dhan/transfer/images/11715_1_q.jpg, 0.00187174479166667, 0.999210770773791, 0.999210770773791
8164, /home/dhan/transfer/images/11720_0_r.jpg, /home/dhan/transfer/images/11720_0_q.jpg, 0.00149197048611111, 0.996714421836371, 0.996714421836371
8166, /home/dhan/transfer/images/11720_1_q.jpg, /home/dhan/transfer/images/11720_1_r.jpg, 0.00249565972222222, 1, 1
